speed,acc_norm,engine_speed,throttle_position,delta_acc_lat,client,cluster_id
0.0,9.068991581880658,0.0,0.0,-7.35632183910262e-05,J,1
1.0,1.0664673347970846,948.0,14.117647058823527,0.0038416024318749797,J,2
0.0,9.51354599779448,0.0,0.0,0.005989543553373555,G,1
48.0,4.607782452901229,2064.5,20.0,0.8275408239301685,G,3
0.0,9.443325020543632,0.0,0.0,0.6683311938382541,A,1
6.0,0.6690171797088339,960.0,23.52941176470588,-0.0881338851022396,C,2
50.0,0.4226621787998057,2128.5,18.431372549019606,0.22835046237915096,I,3
13.0,4.086242087485944,1349.0,18.03921568627451,-0.05897428193726706,H,2
0.0,0.5983216758670906,953.0,13.333333333333334,-0.0006677253478524214,F,2
0.0,1.0506818164620768,944.0,12.941176470588236,0.06123862615983244,F,2
0.0,1.106458555329275,1011.5,15.294117647058822,-0.026824070788848298,H,2
1.0,1.4795529912605165,949.0,14.117647058823527,0.08129197324414716,E,2
42.0,5.063863902708976,1785.5,14.509803921568627,-0.01371891150464144,D,3
9.0,0.4609407575837014,996.0,13.72549019607843,-0.3515087572977481,J,2
11.0,2.3020960777114827,955.0,14.117647058823527,0.7961464055409602,B,2
0.0,0.9875111378230698,949.5,13.72549019607843,0.003509643483342817,H,2
0.0,9.496862670224179,0.0,14.117647058823527,-0.0007590567327409037,J,1
55.0,4.6658076922631375,3260.5,87.05882352941177,-1.247460131446596,I,3
0.0,9.460319897934664,0.0,0.0,0.016323045874056086,A,1
0.0,1.8586792230578697,1682.0,18.431372549019606,-0.13899550517881576,D,3
0.0,1.408825516275398,956.5,12.15686274509804,2.9139072847628178e-05,B,2
38.0,2.0315441516691504,2394.0,44.70588235294117,0.0507236842105262,D,3
0.0,9.070510955849462,0.0,0.0,0.0014503120835969163,B,1
0.0,9.549439117034368,0.0,0.0,-0.8974751085550872,A,1
21.0,3.714101924955295,2061.5,87.84313725490196,-0.4875511896839404,D,3
0.0,1.6469972581207315,0.0,0.0,0.0031986531986532007,G,1
19.0,2.6085925431971186,946.5,12.941176470588236,-0.034808384773662215,A,2
0.0,1.6316810547562204,944.5,14.117647058823527,-0.0013597553054547906,H,2
7.0,0.8395844293242773,1441.5,13.333333333333334,-0.004554455445544614,G,2
0.0,0.9742759992972174,947.0,14.117647058823527,0.024278587327171308,I,2
17.0,4.5237824677785765,3132.5,20.392156862745097,0.2093128818432295,A,3
47.0,1.8927421107153932,955.5,13.333333333333334,-0.7277809040875642,F,2
0.0,1.0588000120905552,947.0,12.941176470588236,0.0006837307152874894,G,2
0.0,1.7343822576266856,954.5,14.509803921568627,-0.004347572148419632,G,2
0.0,1.7326578397258472,0.0,0.0,-0.0010869046784035994,E,1
0.0,9.48733417798591,0.0,14.117647058823527,-0.0009903381642512032,E,1
52.0,0.8382577034657012,1735.5,14.117647058823527,0.07408570898522049,E,3
0.0,9.11580772883718,0.0,0.0,1.0882444377328107,G,1
8.0,4.304490097780264,1073.0,27.45098039215686,-0.9455623305550236,E,2
52.0,1.8390908653994984,1757.5,15.294117647058822,-0.1944886209919161,D,3
0.0,9.496193449392216,0.0,0.0,0.003828289452564193,F,1
39.0,1.0022756479660289,2403.0,15.68627450980392,-0.2575119035349891,F,3
0.0,1.8255905998377773,949.5,14.117647058823527,-0.0018518518518518962,G,2
3.0,1.4738021675800932,1569.0,15.294117647058822,-0.2100789063780949,C,3
24.0,3.998311321391022,2468.0,18.03921568627451,-0.20752557529318016,F,3
0.0,9.06882619771391,0.0,0.0,-0.0004028343720037242,E,1
0.0,9.459170960229102,0.0,0.0,-1.5338171055661325,F,1
29.0,3.6794999906459736,1845.0,14.509803921568627,0.6608417845911951,B,3
0.0,2.260701306619461,944.5,14.117647058823527,-0.002385548814120231,J,2
0.0,1.7175003854335804,0.0,0.0,0.264683688600556,A,1
0.0,1.732960731982222,948.0,13.72549019607843,0.003211299435028181,J,2
38.0,2.073728091756167,1624.0,34.509803921568626,-0.08425726265348898,H,3
18.0,3.3711165346397864,1852.5,16.470588235294116,-0.08286767186129662,D,3
3.0,2.4993560348557433,1673.5,23.137254901960784,-0.054625442410759506,I,3
0.0,9.069195413947112,0.0,0.0,-0.0023955943616962294,E,1
2.0,3.281372471858045,1264.0,23.92156862745098,-0.6427322227136469,E,2
41.0,2.4999431469473983,2563.5,15.68627450980392,0.6607898529554967,C,3
0.0,0.8263750796271799,952.5,12.549019607843135,0.000537249893571734,J,2
16.0,1.0641906690038239,1674.5,16.470588235294116,-0.005556837791199309,G,3
0.0,1.5622521357523924,953.0,14.117647058823527,6.688963210699228e-05,B,2
22.0,2.466073738784468,951.0,12.549019607843135,0.2503809538456805,D,2
0.0,0.5596094521750778,944.0,12.941176470588236,-0.0007605228563634103,J,2
